Name,Ticker,Category,Current Price,Day Change %,EMA 50,EMA 200,EMA Cross,Days Since EMA Cross,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,1Y CAGR %,3Y CAGR %,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,SD 1Y %,ATR % (14D),Vol Ratio (20D/60D),Vol Trend,52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,Days Since 52W High,Drawdown Status,Market Regime
Crude Oil,CL=F,Commodity,84.69,6.85,82.7403,79.0357,Golden Cross,105,54.68,Bullish,Bullish,19.7,-15.25,35.74,26.95,2.44,5,24.78,0.67,53.3,5.41,1.09,Stable,112.95,55.27,-25.02,53.23,-39.31,80,Damaged,Bull
Gold,GC=F,Commodity,4069.3999,0.82,4215.2063,4286.6324,Death Cross,11,46.67,Bullish,Bearish,1.17,-11.37,-19.89,22.98,27.38,8,4.96,-0.71,28.13,1.75,0.89,Stable,5318.3999,3293.2,-23.48,23.57,-25.06,128,Damaged,Strong Bear
Natural Gas,NG=F,Commodity,2.712,1.88,3.0012,3.2155,Death Cross,105,34.61,Bearish,Bearish,-14.74,5.98,-61.0,-9.24,2.86,6,-16.73,-0.66,92.86,4.21,0.79,Falling,7.46,2.523,-63.65,7.49,-66.18,129,Damaged,Strong Bear
Silver,SI=F,Commodity,57.18,-0.2,63.8401,65.5066,Death Cross,8,40.57,Bullish,Bearish,-1.71,-21.89,-45.81,50.37,32.06,8,5.59,-0.7,65.32,3.07,0.77,Falling,115.08,36.552,-50.31,56.43,-51.43,130,Damaged,Strong Bear
EUR/INR,EURINR=X,Currency,108.9612,-0.0,109.3532,107.0737,Golden Cross,364,46.59,Bearish,Bullish,0.99,-2.08,1.24,6.58,6.8,9,1.68,0.12,10.48,1.13,0.61,Falling,112.486,100.411,-3.13,8.52,-6.84,49,Recovering,Strong Bull
GBP/INR,GBPINR=X,Currency,127.0893,-0.13,127.6139,124.1508,Golden Cross,383,43.64,Bearish,Bullish,1.11,-1.45,2.73,8.4,6.82,9,1.59,0.27,10.14,0.91,0.86,Stable,130.4087,115.5451,-2.55,9.99,-5.57,9,Recovering,Strong Bull
USD/INR,INR=X,Currency,95.637,-0.14,95.4946,92.8059,Golden Cross,1246,47.21,Bearish,Bullish,0.89,0.93,5.97,8.97,4.97,8,0.58,0.89,6.69,0.78,0.88,Stable,96.8769,87.0182,-1.28,9.9,-2.65,3,At High,Strong Bull
Dow Jones,^DJI,Global Index,52131.6992,-1.17,51526.1608,49013.1552,Golden Cross,300,50.84,Bearish,Bullish,-0.1,6.08,6.38,16.27,13.76,10,-2.13,0.51,12.4,1.1,0.87,Stable,53055.9102,43588.5781,-1.74,19.6,-10.01,16,At High,Strong Bull
FTSE 100,^FTSE,Global Index,10896.9697,0.24,10536.7802,10149.4653,Golden Cross,674,69.11,Bullish,Bullish,3.81,6.7,7.31,19.26,12.95,11,1.58,0.64,11.41,1.04,0.98,Stable,10910.5996,9068.5996,-0.12,20.16,-9.32,107,At High,Strong Bull
Hang Seng,^HSI,Global Index,25807.9199,1.96,24745.6171,25131.1008,Death Cross,29,65.85,Bullish,Bullish,12.08,-0.45,-2.57,3.96,10.42,5,12.23,-0.13,19.11,1.74,0.99,Stable,27968.0898,22671.8594,-7.72,13.83,-18.94,129,Correcting,Bull
India VIX,^INDIAVIX,Global Index,12.0075,-4.4,14.2335,14.9063,Death Cross,14,41.54,Bullish,Bearish,-11.71,-33.48,-12.86,6.83,1.75,5,-0.55,-0.14,92.88,11.25,1.34,Rising,27.89,9.15,-56.95,31.23,-58.23,86,Damaged,Strong Bear
Nasdaq,^IXIC,Global Index,24757.3965,-0.48,25562.6904,23980.8907,Golden Cross,309,36.2,Bearish,Bearish,-4.12,0.38,3.95,16.9,20.76,6,-4.25,0.22,18.13,1.7,0.77,Falling,27093.9004,20650.1309,-8.62,19.89,-13.21,40,Recovering,Strong Bull
Nikkei 225,^N225,Global Index,61434.1914,-1.49,65742.0606,57659.6179,Golden Cross,285,34.58,Bearish,Bearish,-11.56,2.88,14.43,54.83,23.29,9,-12.52,0.52,27.95,3.27,0.93,Stable,72366.3438,39663.3984,-15.11,54.89,-15.11,24,Correcting,Strong Bull
S&P 500,^GSPC,Global Index,7399.75,-0.39,7412.5832,7022.6616,Golden Cross,311,44.02,Bearish,Bearish,-0.55,3.66,6.03,15.81,17.56,7,-1.77,0.48,12.67,1.04,0.71,Falling,7609.7798,6238.0098,-2.76,18.62,-9.1,40,Recovering,Strong Bull
US 10Y Yield,^TNX,Global Index,4.627,0.5,4.5197,4.3559,Golden Cross,89,56.9,Bullish,Bullish,5.78,6.27,9.57,4.68,6.26,6,3.69,0.64,14.94,1.14,0.81,Falling,4.703,3.953,-1.62,17.05,-9.67,4,At High,Strong Bull
