Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,1Y CAGR %,3Y CAGR %,52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,Days Since 52W High,Drawdown Status,SD 1Y %,ATR % (14D),Vol Ratio (20D/60D),Vol Trend,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,EMA Cross,Days Since EMA Cross,Beta vs Nifty,Correlation vs Nifty (1Y),Up Capture Ratio,Down Capture Ratio,Capture Ratio,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Market Regime,PE Ratio,PB Ratio,Dividend Yield %,Index,Category,Momentum Rank 1M,Momentum Rank 3M,Momentum Rank 6M
24643.05,0.08,25175.25,25226.58,28.19,Bearish,Bearish,-3.74,0.17,-0.17,-2.82,-2.82,8.66,26925.3,22875.5,-8.48,7.73,-15.04,179,Correcting,13.29,0.7,0.59,Falling,5,-3.8,-0.01,Death Cross,2,1.01,0.99,101.9,98.6,1.03,0.18,0.78,2.12,Bear,19.72,2.91,1.17,Nifty 100,Broad Market,37,33,39
13707.85,-0.02,13969.12,13893.8,27.61,Bearish,Bearish,-3.51,0.66,1.87,-0.68,-0.68,10.23,14677.15,12492.1,-6.6,9.73,-14.89,179,Correcting,13.56,0.68,0.59,Falling,6,-3.73,0.14,Golden Cross,30,1.02,0.98,103.4,97.1,1.06,0.41,1.27,4.16,Bull,21.2,3.11,1.04,Nifty 200,Broad Market,36,31,35
23477.8,0.2,24065.67,24318.65,28.94,Bearish,Bearish,-3.92,-0.61,-2.29,-5.01,-5.01,6.73,26328.55,22331.4,-10.83,5.13,-15.18,179,Correcting,13.02,0.73,0.65,Falling,5,-3.72,-0.18,Death Cross,127,1.0,1.0,100.0,100.0,1.0,0.0,0.0,0.0,Strong Bear,19.85,2.84,1.21,Nifty 50,Broad Market,38,40,46
22952.35,-0.03,23288.49,23029.08,30.22,Bearish,Bearish,-3.04,1.56,4.06,0.38,0.38,11.05,24099.0,20528.05,-4.76,11.81,-14.82,179,Correcting,13.72,0.65,0.56,Falling,6,-3.56,0.3,Golden Cross,46,1.02,0.97,103.0,95.3,1.08,0.88,2.17,6.35,Bull,22.24,3.19,0.97,Nifty 500,Broad Market,31,29,31
26623.4,-0.19,25763.92,23989.64,62.88,Bearish,Bullish,2.03,11.13,33.65,12.24,12.24,21.4,26715.4,18892.95,-0.34,40.92,-22.12,1,At High,19.43,0.85,0.63,Falling,8,-1.68,1.73,Golden Cross,79,1.13,0.76,114.3,89.7,1.27,5.95,11.74,35.94,Strong Bull,28.62,3.56,0.43,Nifty Microcap 250,Broad Market,3,6,1
22904.25,-0.38,23117.86,22335.42,35.5,Bearish,Bearish,-2.62,2.9,10.38,7.57,7.57,17.29,23539.35,19430.9,-2.7,17.88,-14.05,20,Recovering,15.7,0.75,0.69,Falling,8,-3.59,0.66,Golden Cross,92,1.05,0.87,107.1,89.2,1.2,1.3,3.52,12.67,Strong Bull,28.64,4.32,0.58,Nifty Midcap 150,Broad Market,25,22,17
72530.9,-0.44,73028.41,70534.46,38.14,Bearish,Bearish,-2.97,3.6,9.78,7.51,7.51,18.42,74766.85,60349.8,-2.99,20.18,-14.63,22,Recovering,16.51,0.84,0.65,Falling,8,-4.17,0.59,Golden Cross,95,1.08,0.85,110.9,92.9,1.19,0.95,4.22,12.07,Strong Bull,19.17,3.23,1.0,Nifty Next 50,Broad Market,30,18,20
18433.4,0.01,18119.07,17199.48,55.65,Bearish,Bullish,0.53,7.93,22.37,8.57,8.57,17.59,18527.2,14232.85,-0.51,29.51,-18.7,1,At High,16.77,0.75,0.66,Falling,8,-2.11,1.33,Golden Cross,79,1.04,0.81,104.8,85.6,1.22,4.45,8.54,24.66,Strong Bull,34.01,3.54,0.55,Nifty Smallcap 250,Broad Market,7,11,5
27540.95,-0.41,28102.66,26995.95,30.89,Bearish,Bearish,-6.21,4.74,6.07,6.85,6.85,21.4,29647.9,23769.6,-7.11,15.87,-17.82,24,Recovering,20.48,1.3,0.57,Falling,9,-7.79,0.3,Golden Cross,332,1.27,0.81,122.0,104.9,1.16,-2.28,5.36,8.36,Strong Bull,32.0,4.2,1.05,Nifty Auto,Sectoral,52,15,27
56471.95,0.31,57217.98,56755.94,38.83,Bearish,Bearish,-2.44,-0.6,0.81,4.45,4.45,8.8,61550.8,50275.35,-8.25,12.33,-18.32,145,Correcting,16.56,0.91,0.64,Falling,7,-2.24,0.05,Golden Cross,46,1.16,0.91,114.6,100.7,1.14,1.48,0.01,3.1,Bull,13.36,1.69,0.69,Nifty Bank,Sectoral,23,39,37
